City,Year,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99,Month_1,Month_5,Month_10,Month_90,Month_95,Month_99
EglinAFB,1960,305.398059603906,304.019499486719,303.553400036719,298.133095926953,297.828560617578,296.905525558359,6,7,7,7,7,7
EglinAFB,1961,305.120447525312,303.744696354297,302.763718704102,297.063335313281,296.651882026367,296.227758181914,8,8,8,7,7,7
EglinAFB,1962,306.28835009793,304.839911880469,303.757349870703,298.859022050391,298.443621057422,297.684093087188,7,7,8,7,7,7
EglinAFB,1963,306.277834085156,304.971210785156,303.688959439844,297.811842941602,297.05419624375,296.0796533025,6,6,8,8,8,8
EglinAFB,1964,305.972164222188,304.54884709375,303.46024629043,297.84063910625,297.399602230273,296.750121664102,8,8,8,8,8,7
EglinAFB,1965,305.480509985586,303.973817957031,302.610797938086,297.748847346289,297.342456816992,296.912404458906,7,7,8,7,7,7
EglinAFB,1966,306.458421783125,304.481988206055,303.798020779687,297.973494740234,297.5647516125,295.837438460625,7,7,7,7,7,7
EglinAFB,1967,305.447073793359,303.583560774414,302.899109650391,297.180167129883,296.22272655332,294.434548319531,6,6,6,7,7,6
EglinAFB,1968,306.614274421406,305.37320935625,304.384240723633,297.706959333398,297.023061795313,296.52430512207,8,8,6,8,7,7
EglinAFB,1969,307.123976858008,305.347213791016,304.38786581543,298.292373367969,297.890907778906,297.391772687109,6,6,6,7,7,7
EglinAFB,1970,306.723112577578,304.575708599024,303.82522147168,297.960800129687,297.608573604297,297.089610408281,7,7,7,8,8,8
EglinAFB,1971,305.467001316406,303.913779410156,303.303413987305,297.58576316543,297.184994856836,296.530478851914,6,6,6,7,7,7
EglinAFB,1972,306.835173584922,305.71453225293,304.57820807832,297.762546282422,297.253456152539,296.484389899766,8,8,8,8,8,8
EglinAFB,1973,305.52816925332,304.473104066992,303.686135398047,298.602196955078,298.127102497656,297.426583870625,7,7,7,7,7,7
EglinAFB,1974,306.307333370156,304.479936810742,303.577469254883,297.316642380664,296.830628864844,296.244824617578,7,7,7,8,8,8
EglinAFB,1975,305.614583345703,304.307180759375,303.592476922656,297.63295495,297.271435063672,296.616690023633,8,8,8,7,8,7
EglinAFB,1976,305.187657871016,304.594217021875,303.788114806055,297.719280728125,297.194153953125,296.367928981328,7,7,7,7,7,7
EglinAFB,1977,306.319830959375,305.117773240234,304.401723722656,298.417063003125,298.014746318359,297.515123893203,7,6,6,7,8,8
EglinAFB,1978,307.050651648242,305.804970548828,304.181613020508,298.231799284766,297.834904023828,297.205014077344,6,6,6,7,7,7
EglinAFB,1979,305.675948127227,304.499396871094,303.524531657422,297.978570182422,297.751984700781,297.306270811719,7,7,7,7,7,7
EglinAFB,1980,309.088642578242,306.73165010293,305.754986625391,298.398845375391,297.884315699609,297.107031607422,7,7,7,7,7,7
EglinAFB,1981,307.234598730625,305.296876707617,304.505861925195,298.314311264648,297.550895814453,296.737853380273,7,7,7,6,6,6
EglinAFB,1982,305.475608160937,304.262248535352,303.526764704492,297.967289196484,297.408922588086,296.762953979375,8,8,8,7,8,7
EglinAFB,1983,306.166621946211,305.065800066797,304.386225170117,298.353508091992,297.661799528711,297.1598269,7,7,7,7,8,8
EglinAFB,1984,304.86199033457,303.493317585938,302.690309817383,297.332069446875,297.104412058594,296.731534487383,6,6,6,8,8,8
EglinAFB,1985,306.188731408203,304.147935382813,303.398415148437,297.652856771094,297.278412717188,296.192293514414,6,6,6,7,7,8
EglinAFB,1986,308.747135383711,305.599759088867,304.625456123438,298.522352377734,298.102398828516,297.480756672734,8,7,7,7,7,7
EglinAFB,1987,306.612290457266,305.509246219531,304.53455710957,298.665563501367,298.197531212695,297.564414248164,7,7,8,8,8,8
EglinAFB,1988,305.325195058984,304.186014504297,303.084699868555,297.926852450781,297.57859936543,296.838611380469,6,7,8,8,8,8
EglinAFB,1989,306.23965827625,305.146861013867,304.081358692383,297.592869142578,297.17267149082,296.567464673789,8,8,8,7,7,7
EglinAFB,1990,306.612471488555,305.330899973828,304.744096360938,298.028863179297,297.215457068359,296.497073043477,7,8,7,8,8,7
EglinAFB,1991,305.656957186758,304.778059381641,304.163978000977,297.889901266992,297.660831895312,297.20615327793,7,7,7,7,7,7
EglinAFB,1992,306.415110602461,304.971179238672,304.210913289063,298.464643724414,298.085344700195,297.253409334219,7,7,7,7,7,7
EglinAFB,1993,306.7052765,305.471483140234,304.537477710156,298.303850419922,297.704951385937,297.179459998516,7,7,7,8,7,8
EglinAFB,1994,304.349136835547,303.151305919336,302.518588226367,297.402603982226,296.968584142188,296.268210473437,6,8,8,7,7,7
EglinAFB,1995,306.279960565703,305.33285761875,304.513943910352,298.436193900977,298.04583405625,297.346463470117,7,7,7,8,8,8
EglinAFB,1996,306.339750270078,304.985723192969,304.345102944531,298.00624080625,297.526332644727,296.518636088906,7,7,7,7,7,7
EglinAFB,1997,306.33354305793,304.815088905664,304.010554801758,297.775089333008,297.247056160547,296.683909888437,7,7,9,7,7,7
EglinAFB,1998,307.722845045898,306.136074989258,305.445160404297,298.792696896484,298.419078104297,297.827175755703,6,6,6,7,7,7
EglinAFB,1999,306.78761056793,305.447515360352,304.422435327734,298.739521638281,298.270966877344,297.673761413086,8,8,8,8,8,8
EglinAFB,2000,308.229154909024,306.6749374,305.702813843945,298.332818223437,297.8893022875,296.884338435977,7,7,7,7,7,7
EglinAFB,2001,304.866455548203,304.164065055274,303.48176058457,298.093719918555,297.707739438281,297.023666900195,7,7,7,7,7,7
EglinAFB,2002,306.382102342031,304.913733201758,303.44204843418,298.005108938672,297.531552064648,296.780815880234,7,7,7,7,7,7
EglinAFB,2003,304.374757187109,303.549368425391,303.054903557813,297.935435825,297.585956985352,296.950903686523,8,8,8,8,8,8
EglinAFB,2004,305.979687091172,304.700679294922,304.116329905469,298.366733849414,298.005260454687,297.226463104414,7,7,7,7,7,7
EglinAFB,2005,306.040724265273,304.812671484375,304.168260714844,298.793746515625,298.108712253711,297.103613922578,7,9,9,7,7,7
EglinAFB,2006,306.487179839258,304.839863157227,304.109247015625,298.506692951953,298.103782029101,297.386822780078,6,6,6,8,8,8
EglinAFB,2007,306.35189576082,305.254006901953,304.55390571875,299.152962534766,298.560964494531,297.840090893125,8,8,8,8,8,8
EglinAFB,2008,305.446862607617,304.535774131836,303.617106785742,297.975649023828,297.396399418555,296.2910622425,7,7,8,7,7,8
EglinAFB,2009,309.001350560352,306.566130598633,305.088481333008,297.916008511719,297.512292558789,296.136483491367,6,6,6,7,7,7
EglinAFB,2010,307.46105982875,305.745848571289,304.790573263672,298.9290096125,298.304099716797,297.516979654766,7,6,6,7,7,7
EglinAFB,2011,307.874149259766,306.342373871875,305.450509668164,299.04483005625,298.616421950976,297.429331286328,6,8,8,8,8,7
EglinAFB,2012,305.741886482344,304.189019030273,303.385768250195,298.491441782422,298.046011641602,297.303091899336,5,7,7,7,7,7
EglinAFB,2013,305.659843007109,304.445825852734,303.502902427344,297.730973292969,297.346078542969,296.617828089648,8,8,8,6,6,6
EglinAFB,2014,307.070158764805,304.6730499125,304.003170351953,297.867302863672,297.412762687695,296.811064492812,8,8,8,8,8,8
EglinAFB,2015,306.78671620457,305.993008121094,305.311413249609,298.895543290234,298.402477394336,297.315192171016,7,7,7,7,7,7
EglinAFB,2016,305.665722972305,304.669981783984,304.182366954492,299.515079824609,299.082733392773,298.432262661875,7,7,7,7,7,8
EglinAFB,2017,305.75143182707,304.752225808008,304.048394832031,298.928039244726,298.517045377539,298.115963147656,8,8,8,7,7,7
EglinAFB,2018,305.645619763281,304.822617894531,304.09319353125,298.625280182422,298.129039990039,297.415337041055,6,6,6,7,7,7
EglinAFB,2019,307.624727130859,305.991473943359,305.194267898438,298.901360935547,298.486991781836,297.891643963008,9,9,9,8,8,8
EglinAFB,2020,306.080545815078,304.818931655859,303.964763307813,298.619806355273,298.240710841797,297.694487341641,8,8,8,8,7,7
EglinAFB,2021,305.727288933828,304.73332785918,303.8247223,298.436910836523,297.980371816211,297.392624329531,7,7,7,8,8,8
EglinAFB,2022,307.801587588477,306.030122517578,304.375477023437,298.884040647852,298.352145251953,297.654300591328,6,6,6,7,7,7
EglinAFB,2023,308.419516099805,306.744353091992,306.110696979297,299.963595062305,299.169942685937,298.376892980312,8,8,8,8,8,8
EglinAFB,2024,307.584349060938,306.134472543164,305.516370513672,299.239617907812,298.795079114844,298.251256979883,8,8,8,7,7,7
EglinAFB,2025,306.835270072109,305.492796946289,304.482532381641,299.001019672851,298.644002967187,297.259976193086,7,7,7,7,7,7
