City,Year,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99,Month_1,Month_5,Month_10,Month_90,Month_95,Month_99
AndoyaSpaceCenter,1966,291.440839233594,288.674490664062,288.082135123047,282.585420457031,282.133568072266,280.660440937891,7,8,8,7,7,7
AndoyaSpaceCenter,1967,288.889924031641,287.452031203125,286.773757808594,282.346343206055,282.055475878906,281.430023400977,8,8,8,8,8,8
AndoyaSpaceCenter,1968,288.393370246094,287.008652750977,285.550257214844,280.889449816406,280.582842311523,280.225096350781,8,8,8,7,7,7
AndoyaSpaceCenter,1969,291.195205779297,289.195362760742,288.325819353516,284.166525402344,283.712516276367,283.422746925977,8,8,8,8,8,8
AndoyaSpaceCenter,1970,290.678572074219,289.426197919922,288.50719534668,282.895809261719,281.696644169922,281.414429235352,7,7,7,7,7,7
AndoyaSpaceCenter,1971,289.29724964668,287.685557298828,286.828528521484,282.420475014648,282.035402435547,281.546710138672,8,8,8,8,8,8
AndoyaSpaceCenter,1972,292.316077205078,291.548160904297,290.602474382812,283.11565796875,282.393102234375,281.367077016797,7,7,7,7,7,7
AndoyaSpaceCenter,1973,291.679791732812,288.925617612305,287.857975353516,282.999461227539,282.593043645508,281.956226033203,7,7,7,7,7,7
AndoyaSpaceCenter,1974,290.145005412109,288.278148289062,287.478431234375,283.342755954102,283.014965376953,282.731942035156,6,7,7,8,8,8
AndoyaSpaceCenter,1975,288.218486287891,286.298883852539,285.540087926758,281.769819744141,281.362329509766,281.094748917383,7,7,7,8,8,8
AndoyaSpaceCenter,1976,289.823260335156,288.661889326172,287.365746291992,281.881023260742,281.539263030273,281.100236725391,7,7,7,7,7,7
AndoyaSpaceCenter,1977,289.670076082812,287.919309385742,286.586818412109,281.768580242188,281.222875306641,280.771584692773,8,8,8,8,8,8
AndoyaSpaceCenter,1978,289.141948432617,288.106309082031,287.442824249023,282.071293147461,281.3505004375,280.832957444922,6,6,7,8,7,7
AndoyaSpaceCenter,1979,289.933800929297,288.949252223633,288.173673922851,281.939669660156,281.598756401367,281.124163549414,8,8,8,7,7,7
AndoyaSpaceCenter,1980,291.047905889062,289.621646227539,288.728055607422,282.100444388672,281.719661722656,281.003615991016,8,8,8,8,8,7
AndoyaSpaceCenter,1981,286.839960082617,285.693268400391,285.336721949219,281.835040363281,281.509881823242,281.086841721484,7,8,8,8,8,8
AndoyaSpaceCenter,1982,288.133995611133,286.90279125293,286.188367290039,281.858625878906,281.661114354492,281.210694677148,7,7,7,7,7,7
AndoyaSpaceCenter,1983,287.39782980293,286.418195919922,285.346071385742,281.837171461914,281.250675341797,281.023313586914,7,7,7,7,7,7
AndoyaSpaceCenter,1984,290.288243442187,287.608730228516,285.980398640625,280.554581658203,280.316976410156,279.864757220313,8,8,8,8,8,7
AndoyaSpaceCenter,1985,290.916645830273,289.334129536133,288.138227792969,282.484258155273,282.09588822168,281.5230935,8,8,8,7,7,7
AndoyaSpaceCenter,1986,289.746247330469,286.516805176758,285.754368730469,282.033184381836,281.727856729492,280.679705378516,7,7,7,8,8,8
AndoyaSpaceCenter,1987,290.917066414258,287.370677506836,286.30682,280.308006206055,279.885670636719,278.962494388477,7,7,8,8,8,8
AndoyaSpaceCenter,1988,289.6270231375,288.471767494141,287.653588770508,283.370322011719,282.957536261719,282.074987670508,7,7,7,8,8,8
AndoyaSpaceCenter,1989,290.761630163281,289.443247850586,288.73459444043,281.818213589844,281.238881485352,280.601002735156,8,8,8,8,8,7
AndoyaSpaceCenter,1990,291.230731808789,289.588275475586,288.716069308594,283.385729520508,282.82947553418,282.328977139062,8,8,8,8,7,8
AndoyaSpaceCenter,1991,288.786847592773,286.907337015625,286.301645209961,282.950269401367,282.155901008789,281.716347251172,8,8,8,8,8,7
AndoyaSpaceCenter,1992,288.864937845703,287.057248959961,285.637427167969,281.782872011719,281.382766857422,280.544270226953,6,6,6,8,8,8
AndoyaSpaceCenter,1993,289.696843868555,288.974342765625,288.386364890625,283.012422426758,282.328293844727,280.945239322266,8,7,8,8,8,8
AndoyaSpaceCenter,1994,291.088994195703,288.696711038086,287.135107648437,281.321927011719,280.490560740234,280.206361959766,8,8,8,8,8,7
AndoyaSpaceCenter,1995,286.479320143555,285.506036392578,284.700304493164,281.091200581055,280.825415850586,279.881929686328,7,7,7,8,8,8
AndoyaSpaceCenter,1996,289.717895111719,288.948005097656,288.440161265625,282.690491166016,282.319894365234,281.584658355469,8,8,8,8,8,8
AndoyaSpaceCenter,1997,290.374457118164,289.362038923828,288.717906606445,282.446282228516,281.966407280273,281.402637297266,8,8,8,8,8,8
AndoyaSpaceCenter,1998,290.563095558594,289.751473916992,288.968239519531,283.859587886719,283.541519541016,283.136578099609,7,7,7,8,8,8
AndoyaSpaceCenter,1999,290.039324373047,287.23138515625,285.818334015625,281.207761304687,281.053847073242,280.736895024219,7,7,7,7,8,7
AndoyaSpaceCenter,2000,286.676130880859,286.168959236328,285.812769217773,282.088687018555,281.784656734375,281.197886885547,8,8,8,8,8,8
AndoyaSpaceCenter,2001,288.136256273633,286.623132564453,286.234853549805,282.953517429688,282.049117907227,281.830312479297,7,8,9,8,7,7
AndoyaSpaceCenter,2002,290.691905837109,289.27082306543,288.103180522461,284.115426008789,283.803715110352,283.323008091211,8,8,8,7,7,7
AndoyaSpaceCenter,2003,291.01367898457,289.855500556641,288.943269025391,282.619617990234,282.193356363281,281.9171272125,7,7,7,7,7,7
AndoyaSpaceCenter,2004,291.557754947656,289.756740339844,288.755602318359,283.616339674805,283.376236350586,282.881425142578,7,7,7,7,7,7
AndoyaSpaceCenter,2005,289.278977752734,287.78382328125,286.481391371094,283.017158558594,282.441028232422,281.796470338477,8,8,8,8,8,7
AndoyaSpaceCenter,2006,288.942279942773,288.227621678711,287.689703986328,283.179679957031,282.930617911133,282.146813607813,8,8,8,8,8,8
AndoyaSpaceCenter,2007,289.496417401758,287.764430333008,287.359959543945,283.213908543945,282.558702144531,282.128025142187,8,7,7,7,7,7
