City,Year,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99,Month_1,Month_5,Month_10,Month_90,Month_95,Month_99
DiegoGarciaIsland,1965,301.261136953711,300.867084246094,300.688438066406,298.826692941406,298.58045475,298.243532429102,4,4,4,4,4,4
DiegoGarciaIsland,1966,301.148291377812,300.9682558125,300.765834365039,299.224354036328,298.98154334668,298.71059978125,2,2,2,5,5,5
DiegoGarciaIsland,1967,301.76168363125,301.333284025391,301.130367046875,299.212027769531,299.031583544922,298.704647045508,4,4,4,4,4,4
DiegoGarciaIsland,1968,301.220349435937,301.045932733398,300.893950839844,299.055750147461,298.827762962891,298.448233411719,4,4,4,4,4,4
DiegoGarciaIsland,1969,301.797274824219,301.519596376953,301.33944381543,299.413920699219,299.197724296875,298.869506438281,4,4,4,4,4,4
DiegoGarciaIsland,1970,301.597099222891,301.408755638281,301.241750935547,299.697011560547,299.390458948242,299.002339667969,3,3,4,4,4,4
DiegoGarciaIsland,1971,301.065244716172,300.680026261719,300.496490294922,298.848211814062,298.602878404492,298.339348500469,2,4,4,5,5,5
DiegoGarciaIsland,1972,301.188277530039,300.899222603711,300.773577165039,299.065480020703,298.809622301172,298.480207390742,12,2,2,5,5,5
DiegoGarciaIsland,1973,301.607309538281,301.375463376953,301.22840137793,299.734072882812,299.409670623047,299.066287954102,4,4,4,4,4,4
DiegoGarciaIsland,1974,300.629275144922,300.456572605469,300.331030410156,298.696312652344,298.486984985352,298.31115934375,4,4,4,4,4,4
DiegoGarciaIsland,1975,301.289930218945,300.969123194922,300.831077966797,298.873730297852,298.707530078125,298.392157472266,3,3,3,4,4,4
DiegoGarciaIsland,1976,301.162214850938,300.837302764453,300.638824671484,299.395693403125,299.135916794336,298.361194410664,5,5,5,5,5,5
DiegoGarciaIsland,1977,301.440448749609,301.089970291016,300.887927504883,298.945186727344,298.846170210938,298.681585597266,4,4,4,3,4,4
DiegoGarciaIsland,1978,301.551328543984,301.308912129297,301.115136333398,299.218212836719,298.986088980664,298.565676945703,3,3,3,3,3,3
DiegoGarciaIsland,1979,301.32950204332,301.022921302734,300.915618725586,299.558199189453,299.381075947266,299.141228563672,3,4,4,4,4,4
DiegoGarciaIsland,1980,301.336112915391,301.076798058984,300.968093587891,299.348249468945,299.186740195312,298.833618932422,5,5,5,5,4,5
DiegoGarciaIsland,1981,301.489264114258,301.290893166016,301.077562008789,299.214858964844,298.995372740234,298.692462104297,4,4,4,4,4,4
DiegoGarciaIsland,1982,301.741607803125,301.463673983398,301.268452929687,299.467095300781,299.215557464844,298.732873403984,4,4,4,4,4,5
DiegoGarciaIsland,1983,301.995373386641,301.673268963086,301.518473981445,299.715853417578,299.534601537305,299.171366597383,3,3,3,3,3,3
